,_id,Country,CountryCode,ObservationType,IndicatorCode,IndicatorNameShort,RANK,SCORE,YEAR,RAW
55,{'$oid': '642b15e88c5067f4a899fd13'},Argentina,ARG,IndicatorObservation,IUCNRL,IUCN Red List Index,27,0.72,2018,0.86
56,{'$oid': '642b15e88c5067f4a899fd14'},Argentina,ARG,IndicatorObservation,LFPART,Labor Force Participation,24,0.864,2017,86.37
57,{'$oid': '642b15e88c5067f4a899fd15'},Argentina,ARG,IndicatorObservation,MATERN,Paid Maternity Leave,38,0.247,2017,12.86
58,{'$oid': '642b15e88c5067f4a899fd16'},Argentina,ARG,IndicatorObservation,MILEXP,Military Expenditure,42,0.92,2018,0.8
59,{'$oid': '642b15e88c5067f4a899fd17'},Argentina,ARG,IndicatorObservation,MSWGEN,Municipal Solid Waste Generation,34,0.444,2018,416.7
60,{'$oid': '642b15e88c5067f4a899fd18'},Argentina,ARG,IndicatorObservation,MURDER,Intentional Homicide Rate,7,0.703,2016,5.94
61,{'$oid': '642b15e88c5067f4a899fd19'},Argentina,ARG,IndicatorObservation,NITROG,Sustainable Nitrogen Management,3,0.707,2018,70.69
62,{'$oid': '642b15e88c5067f4a899fd1a'},Argentina,ARG,IndicatorObservation,NRGINT,Energy Intensity,29,0.779,2018,3.31
63,{'$oid': '642b15e88c5067f4a899fd1b'},Argentina,ARG,IndicatorObservation,PHYSPC,"Physicians per 10,000",11,0.559,2010-2017,39.1
64,{'$oid': '642b15e88c5067f4a899fd1c'},Argentina,ARG,IndicatorObservation,PUBACC,Public Access to Financial Sector,47,0.487,2017,48.71
65,{'$oid': '642b15e88c5067f4a899fd1d'},Argentina,ARG,IndicatorObservation,PUBSRV,Quality of Public Services & Government,41,0.536,2018,0.18
66,{'$oid': '642b15e88c5067f4a899fd1e'},Argentina,ARG,IndicatorObservation,PUPTCH,Primary School Pupil to Teacher Ratio,21,0.783,2016,15.73
67,{'$oid': '642b15e88c5067f4a899fd1f'},Argentina,ARG,IndicatorObservation,RDFUND,Research and Development,40,0.283,2018,0.283
68,{'$oid': '642b15e88c5067f4a899fd20'},Argentina,ARG,IndicatorObservation,RECYCL,Recycling Rate,43,0.086,2018,6
69,{'$oid': '642b15e88c5067f4a899fd21'},Argentina,ARG,IndicatorObservation,RULELW,Rule of Law Index,41,0.676,2018,0.676
70,{'$oid': '642b15e88c5067f4a899fd22'},Argentina,ARG,IndicatorObservation,SANSRV,Basic Sanitation Services,13,0.985,2015,98.53
71,{'$oid': '642b15e88c5067f4a899fd23'},Argentina,ARG,IndicatorObservation,SECAPP,Security Apparatus,13,0.51,2019,4.9
72,{'$oid': '642b15e88c5067f4a899fd24'},Argentina,ARG,IndicatorObservation,SENIOR,Senior Wellbeing,22,0.693,2018,0.693
73,{'$oid': '642b15e88c5067f4a899fd25'},Argentina,ARG,IndicatorObservation,STKHLM,Stockholm Convention Compliance,22,0.667,2015,66.67
74,{'$oid': '642b15e88c5067f4a899fd26'},Argentina,ARG,IndicatorObservation,TAXEVA,Tax Evasion,44,0.927,2020,109.37
75,{'$oid': '642b15e88c5067f4a899fd27'},Argentina,ARG,IndicatorObservation,TAXREV,Tax Revenue,42,0.219,2017,10.9555
76,{'$oid': '642b15e88c5067f4a899fd28'},Argentina,ARG,IndicatorObservation,TRNETW,National Transport Network Intensity,36,0.495,2007-17,0.495
77,{'$oid': '642b15e88c5067f4a899fd29'},Argentina,ARG,IndicatorObservation,UNEMPL,Unemployment Benefits Coverage,41,0.072,2016,7.2
78,{'$oid': '642b15e88c5067f4a899fd2a'},Argentina,ARG,IndicatorObservation,WATMAN,Water Management,30,0.62,2018,0.62
79,{'$oid': '642b15e88c5067f4a899fd2b'},Australia,AUS,IndexAggregate,MS,Market Structure Pillar,15,0.643,2018,
80,{'$oid': '642b15e88c5067f4a899fd2c'},Australia,AUS,IndexAggregate,MS_FIN,MS: Financial Sector Category,7,0.834,2018,
81,{'$oid': '642b15e88c5067f4a899fd2d'},Australia,AUS,IndexAggregate,MS_NEQ,MS: Inequality Category,27,0.49,2018,
82,{'$oid': '642b15e88c5067f4a899fd2e'},Australia,AUS,IndexAggregate,MS_TAX,MS: Tax Category,8,0.675,2018,
83,{'$oid': '642b15e88c5067f4a899fd2f'},Australia,AUS,IndexAggregate,MS_WEN,MS: Worker Engagement Category,20,0.655,2018,
84,{'$oid': '642b15e88c5067f4a899fd30'},Australia,AUS,IndexAggregate,MS_WWB,MS: Worker Wellbeing Category,30,0.564,2018,
85,{'$oid': '642b15e88c5067f4a899fd31'},Australia,AUS,IndexAggregate,PG,Public Goods Pillar,19,0.788,2018,
86,{'$oid': '642b15e88c5067f4a899fd32'},Australia,AUS,IndexAggregate,PG_EDU,PG: Education Category,24,0.865,2018,
87,{'$oid': '642b15e88c5067f4a899fd33'},Australia,AUS,IndexAggregate,PG_GLB,PG: Global Role Category,15,0.683,2018,
88,{'$oid': '642b15e88c5067f4a899fd34'},Australia,AUS,IndexAggregate,PG_HLC,PG: Healthcare Category,23,0.716,2018,
89,{'$oid': '642b15e88c5067f4a899fd35'},Australia,AUS,IndexAggregate,PG_INF,PG: Infrastructure Category,35,0.772,2018,
90,{'$oid': '642b15e88c5067f4a899fd36'},Australia,AUS,IndexAggregate,PG_RTS,PG: Rights Category,,0.864,2018,
91,{'$oid': '642b15e88c5067f4a899fd37'},Australia,AUS,IndexAggregate,PG_RTS,PG: Rights Catgory,18,,2018,
92,{'$oid': '642b15e88c5067f4a899fd38'},Australia,AUS,IndexAggregate,PG_SAF,PG: Public Safety Category,22,0.827,2018,
93,{'$oid': '642b15e88c5067f4a899fd39'},Australia,AUS,IndexAggregate,SSPI,SSPI,,11.781,2018,
94,{'$oid': '642b15e88c5067f4a899fd3a'},Australia,AUS,IndexAggregate,SSPI,SSPI Overall,21,,2018,
95,{'$oid': '642b15e88c5067f4a899fd3b'},Australia,AUS,IndexAggregate,SUS,Sustainability Pillar,42,0.475,2018,
96,{'$oid': '642b15e88c5067f4a899fd3c'},Australia,AUS,IndexAggregate,SUS_ECO,Sus: Ecosystem Category,30,0.586,2018,
97,{'$oid': '642b15e88c5067f4a899fd3d'},Australia,AUS,IndexAggregate,SUS_GHG,Sus: Greenhouse Gases Category,49,0.335,2018,
98,{'$oid': '642b15e88c5067f4a899fd3e'},Australia,AUS,IndexAggregate,SUS_LND,Sus: Land Category,30,0.486,2018,
99,{'$oid': '642b15e88c5067f4a899fd3f'},Australia,AUS,IndexAggregate,SUS_NRG,Sus: Energy Category,25,0.549,2018,
100,{'$oid': '642b15e88c5067f4a899fd40'},Australia,AUS,IndexAggregate,SUS_WST,Sus: Waste Category,23,0.417,2018,
101,{'$oid': '642b15e88c5067f4a899fd41'},Australia,AUS,IndicatorObservation,AIRPOL,Air Pollution,42,0.82,2016,7.19
102,{'$oid': '642b15e88c5067f4a899fd42'},Australia,AUS,IndicatorObservation,ALTNRG,Alternative Energy Generation,37,0.12,2018,7.197
103,{'$oid': '642b15e88c5067f4a899fd43'},Australia,AUS,IndicatorObservation,AQELEC,Availability and Quality of Electricity,33,0.906,2018,0.9061
104,{'$oid': '642b15e88c5067f4a899fd44'},Australia,AUS,IndicatorObservation,ARMEXP,Arms Exports,24,0.975,2018,38
105,{'$oid': '642b15e88c5067f4a899fd45'},Australia,AUS,IndicatorObservation,ATBRTH,Births Attended by Skilled Personnel,43,0.85,2016,97
106,{'$oid': '642b15e88c5067f4a899fd46'},Australia,AUS,IndicatorObservation,BEEFMK,Beef Market,45,0.343,2018,0.343
107,{'$oid': '642b15e88c5067f4a899fd47'},Australia,AUS,IndicatorObservation,BIODIV,Biodiversity Protection,26,0.533,2018,53.287
108,{'$oid': '642b15e88c5067f4a899fd48'},Australia,AUS,IndicatorObservation,CARBON,Carbon Capture,48,0.054,2018,-2.056
109,{'$oid': '642b15e88c5067f4a899fd49'},Australia,AUS,IndicatorObservation,CHILDW,Child Worker Engagement,8,0.857,2018,0.857
110,{'$oid': '642b15e88c5067f4a899fd4a'},Australia,AUS,IndicatorObservation,COALPW,Energy from Coal Sources,7,0.3329636337,2018,33.35181832
111,{'$oid': '642b15e88c5067f4a899fd4b'},Australia,AUS,IndicatorObservation,COLBAR,Collective Bargaining Rights Coverage,19,0.47,2016,0.47
112,{'$oid': '642b15e88c5067f4a899fd4c'},Australia,AUS,IndicatorObservation,CRPTAX,Corporate Tax Rate,4,0.75,2018,30
113,{'$oid': '642b15e88c5067f4a899fd4d'},Australia,AUS,IndicatorObservation,CSTUNT,Child Stunting,25,0.943,2018,2.85
114,{'$oid': '642b15e88c5067f4a899fd4e'},Australia,AUS,IndicatorObservation,CYBSEC,Global Cybersecurity Index,8,0.89,2018,0.89
115,{'$oid': '642b15e88c5067f4a899fd4f'},Australia,AUS,IndicatorObservation,DEFRST,Deforestation,32,0.331,2018,-0.001
116,{'$oid': '642b15e88c5067f4a899fd50'},Australia,AUS,IndicatorObservation,DPTCOV,Infant DTP Vaccine Coverage,27,0.8,2017,95
117,{'$oid': '642b15e88c5067f4a899fd51'},Australia,AUS,IndicatorObservation,DRKWAT,Safe Drinking Water,1,1,2015,100
118,{'$oid': '642b15e88c5067f4a899fd52'},Australia,AUS,IndicatorObservation,EDEMOC,Electoral Democracy Index,20,0.865,2018,0.865
119,{'$oid': '642b15e88c5067f4a899fd53'},Australia,AUS,IndicatorObservation,ENRPRI,Primary School Net Enrollment,27,0.834,2017,96.68
120,{'$oid': '642b15e88c5067f4a899fd54'},Australia,AUS,IndicatorObservation,ENRSEC,Lower Secondary School Net Enrollment,24,0.952,2017,98.57
121,{'$oid': '642b15e88c5067f4a899fd55'},Australia,AUS,IndicatorObservation,EWASTE,E-Waste Generation,15,0.397,2018,24.1284562
122,{'$oid': '642b15e88c5067f4a899fd56'},Australia,AUS,IndicatorObservation,FAMPLN,Unment Need for Family Planning,30,0.49,2018,10.2
123,{'$oid': '642b15e88c5067f4a899fd57'},Australia,AUS,IndicatorObservation,FATINJ,Fatal Workplace Injuries,36,0.936,2017,1.6
124,{'$oid': '642b15e88c5067f4a899fd58'},Australia,AUS,IndicatorObservation,FDEPTH,Financial Depth,9,0.605,2018,0.605
125,{'$oid': '642b15e88c5067f4a899fd59'},Australia,AUS,IndicatorObservation,FORAID,Foreign Aid,24,0.218,2018,0.218
126,{'$oid': '642b15e88c5067f4a899fd5a'},Australia,AUS,IndicatorObservation,FSTABL,Financial Stability,40,0.9,2018,1
127,{'$oid': '642b15e88c5067f4a899fd5b'},Australia,AUS,IndicatorObservation,GENDEQ,Gender Equality Index,21,0.85,2018,3.399
128,{'$oid': '642b15e88c5067f4a899fd5c'},Australia,AUS,IndicatorObservation,GINIPT,GINI Coefficient After Taxes,25,0.712,2014,34.4
129,{'$oid': '642b15e88c5067f4a899fd5d'},Australia,AUS,IndicatorObservation,GTRANS,Green Transport Index,42,0.33,2016,0.33
130,{'$oid': '642b15e88c5067f4a899fd5e'},Australia,AUS,IndicatorObservation,INCARC,Incarceration Rates,21,0.736,2018,172
131,{'$oid': '642b15e88c5067f4a899fd5f'},Australia,AUS,IndicatorObservation,INCONV,Adoption of Key UN Conventions,24,0.8,2019,8
132,{'$oid': '642b15e88c5067f4a899fd60'},Australia,AUS,IndicatorObservation,INTRNT,Internet Access and Quality,26,0.493,2016/2020,0.49295
133,{'$oid': '642b15e88c5067f4a899fd61'},Australia,AUS,IndicatorObservation,ISHRAT,Income Share Ratio,27,0.267,2018,0.48
134,{'$oid': '642b15e88c5067f4a899fd62'},Australia,AUS,IndicatorObservation,IUCNRL,IUCN Red List Index,37,0.64,2018,0.82
135,{'$oid': '642b15e88c5067f4a899fd63'},Australia,AUS,IndicatorObservation,LFPART,Labor Force Participation,36,0.839,2017,83.93
136,{'$oid': '642b15e88c5067f4a899fd64'},Australia,AUS,IndicatorObservation,MATERN,Paid Maternity Leave,46,0.148,2018,7.7
137,{'$oid': '642b15e88c5067f4a899fd65'},Australia,AUS,IndicatorObservation,MILEXP,Military Expenditure,17,0.81,2018,1.9
138,{'$oid': '642b15e88c5067f4a899fd66'},Australia,AUS,IndicatorObservation,MSWGEN,Municipal Solid Waste Generation,16,0.252,2018,560.97
139,{'$oid': '642b15e88c5067f4a899fd67'},Australia,AUS,IndicatorObservation,MURDER,Intentional Homicide Rate,29,0.953,2016,0.94
140,{'$oid': '642b15e88c5067f4a899fd68'},Australia,AUS,IndicatorObservation,NITROG,Sustainable Nitrogen Management,31,0.378,2018,37.79
141,{'$oid': '642b15e88c5067f4a899fd69'},Australia,AUS,IndicatorObservation,NRGINT,Energy Intensity,13,0.707,2018,4.39
142,{'$oid': '642b15e88c5067f4a899fd6a'},Australia,AUS,IndicatorObservation,PHYSPC,"Physicians per 10,000",20,0.499,2010-2017,34.96
143,{'$oid': '642b15e88c5067f4a899fd6b'},Australia,AUS,IndicatorObservation,PUBACC,Public Access to Financial Sector,7,0.995,2017,99.52
144,{'$oid': '642b15e88c5067f4a899fd6c'},Australia,AUS,IndicatorObservation,PUBSRV,Quality of Public Services & Government,14,0.816,2018,1.58
145,{'$oid': '642b15e88c5067f4a899fd6d'},Australia,AUS,IndicatorObservation,PUPTCH,Primary School Pupil to Teacher Ratio,27,0.81,2018,14.9
146,{'$oid': '642b15e88c5067f4a899fd6e'},Australia,AUS,IndicatorObservation,RDFUND,Research and Development,14,0.728,2018,0.728
147,{'$oid': '642b15e88c5067f4a899fd6f'},Australia,AUS,IndicatorObservation,RECYCL,Recycling Rate,6,0.601,2018,42.1
148,{'$oid': '642b15e88c5067f4a899fd70'},Australia,AUS,IndicatorObservation,RULELW,Rule of Law Index,8,0.99,2018,0.99
149,{'$oid': '642b15e88c5067f4a899fd71'},Australia,AUS,IndicatorObservation,SANSRV,Basic Sanitation Services,11,0.988,2015,98.8
150,{'$oid': '642b15e88c5067f4a899fd72'},Australia,AUS,IndicatorObservation,SECAPP,Security Apparatus,27,0.73,2019,2.7
151,{'$oid': '642b15e88c5067f4a899fd73'},Australia,AUS,IndicatorObservation,SENIOR,Senior Wellbeing,35,0.568,2018,0.568
152,{'$oid': '642b15e88c5067f4a899fd74'},Australia,AUS,IndicatorObservation,STKHLM,Stockholm Convention Compliance,1,1,2015,100
153,{'$oid': '642b15e88c5067f4a899fd75'},Australia,AUS,IndicatorObservation,TAXEVA,Tax Evasion,27,0.837,2018,244.36
154,{'$oid': '642b15e88c5067f4a899fd76'},Australia,AUS,IndicatorObservation,TAXREV,Tax Revenue,19,0.438,2017,21.91586
155,{'$oid': '642b15e88c5067f4a899fd77'},Australia,AUS,IndicatorObservation,TRNETW,National Transport Network Intensity,39,0.471,2007-17,0.471
156,{'$oid': '642b15e88c5067f4a899fd78'},Australia,AUS,IndicatorObservation,UNEMPL,Unemployment Benefits Coverage,13,0.605,2018,60.5
157,{'$oid': '642b15e88c5067f4a899fd79'},Australia,AUS,IndicatorObservation,WATMAN,Water Management,24,0.67,2018,0.67
158,{'$oid': '642b15e88c5067f4a899fd7a'},Austria,AUT,IndexAggregate,MS,Market Structure Pillar,1,0.772,2018,
159,{'$oid': '642b15e88c5067f4a899fd7b'},Austria,AUT,IndexAggregate,MS_FIN,MS: Financial Sector Category,18,0.748,2018,
160,{'$oid': '642b15e88c5067f4a899fd7c'},Austria,AUT,IndexAggregate,MS_NEQ,MS: Inequality Category,10,0.64,2018,
161,{'$oid': '642b15e88c5067f4a899fd7d'},Austria,AUT,IndexAggregate,MS_TAX,MS: Tax Category,9,0.658,2018,
162,{'$oid': '642b15e88c5067f4a899fd7e'},Austria,AUT,IndexAggregate,MS_WEN,MS: Worker Engagement Category,2,0.933,2018,
163,{'$oid': '642b15e88c5067f4a899fd7f'},Austria,AUT,IndexAggregate,MS_WWB,MS: Worker Wellbeing Category,1,0.882,2018,
164,{'$oid': '642b15e88c5067f4a899fd80'},Austria,AUT,IndexAggregate,PG,Public Goods Pillar,7,0.835,2018,
165,{'$oid': '642b15e88c5067f4a899fd81'},Austria,AUT,IndexAggregate,PG_EDU,PG: Education Category,4,0.934,2018,
166,{'$oid': '642b15e88c5067f4a899fd82'},Austria,AUT,IndexAggregate,PG_GLB,PG: Global Role Category,12,0.711,2018,
167,{'$oid': '642b15e88c5067f4a899fd83'},Austria,AUT,IndexAggregate,PG_HLC,PG: Healthcare Category,15,0.748,2018,
168,{'$oid': '642b15e88c5067f4a899fd84'},Austria,AUT,IndexAggregate,PG_INF,PG: Infrastructure Category,10,0.854,2018,
169,{'$oid': '642b15e88c5067f4a899fd85'},Austria,AUT,IndexAggregate,PG_RTS,PG: Rights Category,,0.883,2018,
170,{'$oid': '642b15e88c5067f4a899fd86'},Austria,AUT,IndexAggregate,PG_RTS,PG: Rights Catgory,12,,2018,
171,{'$oid': '642b15e88c5067f4a899fd87'},Austria,AUT,IndexAggregate,PG_SAF,PG: Public Safety Category,8,0.88,2018,
172,{'$oid': '642b15e88c5067f4a899fd88'},Austria,AUT,IndexAggregate,SSPI,SSPI,,3.044,2018,
173,{'$oid': '642b15e88c5067f4a899fd89'},Austria,AUT,IndexAggregate,SSPI,SSPI Overall,46,,2018,
174,{'$oid': '642b15e88c5067f4a899fd8a'},Austria,AUT,IndexAggregate,SUS,Sustainability Pillar,12,0.614,2018,
175,{'$oid': '642b15e88c5067f4a899fd8b'},Austria,AUT,IndexAggregate,SUS_ECO,Sus: Ecosystem Category,20,0.736,2018,
176,{'$oid': '642b15e88c5067f4a899fd8c'},Austria,AUT,IndexAggregate,SUS_GHG,Sus: Greenhouse Gases Category,25,0.683,2018,
177,{'$oid': '642b15e88c5067f4a899fd8d'},Austria,AUT,IndexAggregate,SUS_LND,Sus: Land Category,11,0.63,2018,
178,{'$oid': '642b15e88c5067f4a899fd8e'},Austria,AUT,IndexAggregate,SUS_NRG,Sus: Energy Category,11,0.65,2018,
179,{'$oid': '642b15e88c5067f4a899fd8f'},Austria,AUT,IndexAggregate,SUS_WST,Sus: Waste Category,32,0.372,2018,
180,{'$oid': '642b15e88c5067f4a899fd90'},Austria,AUT,IndicatorObservation,AIRPOL,Air Pollution,25,0.689,2016,12.43
181,{'$oid': '642b15e88c5067f4a899fd91'},Austria,AUT,IndicatorObservation,ALTNRG,Alternative Energy Generation,11,0.448,2018,26.872
182,{'$oid': '642b15e88c5067f4a899fd92'},Austria,AUT,IndicatorObservation,AQELEC,Availability and Quality of Electricity,13,0.97,2018,0.9697
183,{'$oid': '642b15e88c5067f4a899fd93'},Austria,AUT,IndicatorObservation,ARMEXP,Arms Exports,31,0.995,2018,7
184,{'$oid': '642b15e88c5067f4a899fd94'},Austria,AUT,IndicatorObservation,ATBRTH,Births Attended by Skilled Personnel,36,0.92,2017,98.4
185,{'$oid': '642b15e88c5067f4a899fd95'},Austria,AUT,IndicatorObservation,BEEFMK,Beef Market,36,0.723,2018,0.723
186,{'$oid': '642b15e88c5067f4a899fd96'},Austria,AUT,IndicatorObservation,BIODIV,Biodiversity Protection,20,0.693,2018,69.282
187,{'$oid': '642b15e88c5067f4a899fd97'},Austria,AUT,IndicatorObservation,CARBON,Carbon Capture,25,0.32,2018,12.602
188,{'$oid': '642b15e88c5067f4a899fd98'},Austria,AUT,IndicatorObservation,CHILDW,Child Worker Engagement,19,0.786,2018,0.786
189,{'$oid': '642b15e88c5067f4a899fd99'},Austria,AUT,IndicatorObservation,COALPW,Energy from Coal Sources,27,0.8293377874,2018,8.533110631
190,{'$oid': '642b15e88c5067f4a899fd9a'},Austria,AUT,IndicatorObservation,COLBAR,Collective Bargaining Rights Coverage,2,0.98,2016,0.98
191,{'$oid': '642b15e88c5067f4a899fd9b'},Austria,AUT,IndicatorObservation,CRPTAX,Corporate Tax Rate,12,0.625,2018,25
