IndicatorCode,IndicatorCode,Intermediate,IntermediateCode,Description,Weight,Inverted,LowerGoalpost,UpperGoalpost,SourceOrganization,SourceOrganizationIndicatorCode,SourceOrganizationURL
Gender Equality Index,GENDEQ,Women in Parliament,WMPLMT,Percentage of women in the national parliament.,0.40,FALSE,0,0.5,IPU,,https://data.ipu.org/women-ranking
Gender Equality Index,GENDEQ,Mobility,WMMOBL,"Women have equal access to passports, foreign travel, domestic travel, and housing (4 Q’s, each worth 0.25 for yes, 0 for no).",0.20,FALSE,0,1,WB-WBL,,https://wbl.worldbank.org/en/wbl-data
Gender Equality Index,GENDEQ,Marrital Freedom,WMMARR,"Women protected by law from domestic violence and subservience; have equal access to divorce and remarriage. (5Qs, worth 0.2 for yes, 0 for no).",0.20,FALSE,0,1,WB-WBL,,https://wbl.worldbank.org/en/wbl-data
Gender Equality Index,GENDEQ,Assets and Finances,WMFNMN,"Women have equal access to credit, inheritance, pensions, and retirement. Combines two measurements made up of 7 questions.",0.20,FALSE,0,1,WB-WBL,,https://wbl.worldbank.org/en/wbl-data
Incarceration Rate,PRISON,Prison Population,PRIPOP,Prison population,NA,FALSE,NA,NA,World Prison Brief,,https://prisonstudies.org/world-prison-brief-data
Incarceration Rate,PRISON,Population,POPULN,Population,NA,FALSE,NA,NA,World Bank,,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=ID.
Research and Development,RDFUND,Government R&D,GVTRDP,Proportion of GDP spent on government R&D,0.25,FALSE,0,0.5,UIS,,http://data.uis.unesco.org/
Research and Development,RDFUND,Educational R&D,EDURDP,Proportion of GDP spent on higher education R&D,0.25,FALSE,0,0.5,UIS,,http://data.uis.unesco.org/
Research and Development,RDFUND,Number of Researchers,NRSRCH,"Number of researchers per 1 million people, data weight of 50%.",0.50,FALSE,0,7500,UIS,,http://data.uis.unesco.org/
Foreign Aid,FORAID,Donor Foreign Aid,TOTDON,Total ODA Flows from Donor,NA,FALSE,0,1,OECD,,https://stats.oecd.org/
Foreign Aid,FORAID,Recipient Foreign Aid,TONREC,Totall ODA Flows to Recipient,NA,FALSE,0,20,OECD,,https://stats.oecd.org/
Foreign Aid,FORAID,Population,POPULN,Population,NA,FALSE,0,20,OECD,,https://stats.oecd.org/
Foreign Aid,FORAID,GDP at Market Prices,GDPMKT,GDP at Market Prices,NA,FALSE,0,20,OECD,,https://stats.oecd.org/
